sym,date,whale_time,hour,bar_k,entry,whale_low,whale_high,spike,pace,clv,rng_x,new_high,above_vwap,lifting,confirmed,rsi,pattern,score,room_pct,breakout,trend,near_low,atr5_pct,atr5_abs,atr_d_pct,v3,first_of_day,fill,slip_pct,mfe_d0,mae_d0,close_d0,mfe_d1,close_d1,stoppct_whale,o_d0_t0.5_whale,p_d0_t0.5_whale,o_d1_t0.5_whale,p_d1_t0.5_whale,o_d0_t1.0_whale,p_d0_t1.0_whale,o_d1_t1.0_whale,p_d1_t1.0_whale,o_d0_t1.5_whale,p_d0_t1.5_whale,o_d1_t1.5_whale,p_d1_t1.5_whale,o_d0_t2.0_whale,p_d0_t2.0_whale,o_d1_t2.0_whale,p_d1_t2.0_whale,stoppct_p05,o_d0_t0.5_p05,p_d0_t0.5_p05,o_d1_t0.5_p05,p_d1_t0.5_p05,o_d0_t1.0_p05,p_d0_t1.0_p05,o_d1_t1.0_p05,p_d1_t1.0_p05,o_d0_t1.5_p05,p_d0_t1.5_p05,o_d1_t1.5_p05,p_d1_t1.5_p05,o_d0_t2.0_p05,p_d0_t2.0_p05,o_d1_t2.0_p05,p_d1_t2.0_p05,stoppct_p10,o_d0_t0.5_p10,p_d0_t0.5_p10,o_d1_t0.5_p10,p_d1_t0.5_p10,o_d0_t1.0_p10,p_d0_t1.0_p10,o_d1_t1.0_p10,p_d1_t1.0_p10,o_d0_t1.5_p10,p_d0_t1.5_p10,o_d1_t1.5_p10,p_d1_t1.5_p10,o_d0_t2.0_p10,p_d0_t2.0_p10,o_d1_t2.0_p10,p_d1_t2.0_p10,stoppct_p20,o_d0_t0.5_p20,p_d0_t0.5_p20,o_d1_t0.5_p20,p_d1_t0.5_p20,o_d0_t1.0_p20,p_d0_t1.0_p20,o_d1_t1.0_p20,p_d1_t1.0_p20,o_d0_t1.5_p20,p_d0_t1.5_p20,o_d1_t1.5_p20,p_d1_t1.5_p20,o_d0_t2.0_p20,p_d0_t2.0_p20,o_d1_t2.0_p20,p_d1_t2.0_p20,stoppct_atr1,o_d0_t0.5_atr1,p_d0_t0.5_atr1,o_d1_t0.5_atr1,p_d1_t0.5_atr1,o_d0_t1.0_atr1,p_d0_t1.0_atr1,o_d1_t1.0_atr1,p_d1_t1.0_atr1,o_d0_t1.5_atr1,p_d0_t1.5_atr1,o_d1_t1.5_atr1,p_d1_t1.5_atr1,o_d0_t2.0_atr1,p_d0_t2.0_atr1,o_d1_t2.0_atr1,p_d1_t2.0_atr1
UBER,2026-07-14,09:55,10,5,73.14,72.26,73.61,7.98,2.07,0.89,4.86,False,True,False,False,25.3,بدون,98,3.23,False,True,False,0.519,0.3785787309919085,3.83,False,True,73.12,-0.03,0.86,-2.57,-1.42,1.15,-0.62,1.4,target,0.53,target,0.53,stop,-1.37,stop,-1.37,stop,-1.37,stop,-1.37,stop,-1.37,stop,-1.37,0.5,target,0.53,target,0.53,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,stop,-0.47,1.0,target,0.53,target,0.53,stop,-0.97,stop,-0.97,stop,-0.97,stop,-0.97,stop,-0.97,stop,-0.97,2.0,target,0.53,target,0.53,stop,-1.97,stop,-1.97,stop,-1.97,stop,-1.97,stop,-1.97,stop,-1.97,0.52,target,0.53,target,0.53,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49
LLY,2026-07-14,10:00,10,6,1153.47,1140.74,1150.37,2.92,1.6,0.91,2.06,False,False,False,True,18.6,بدون,70,3.69,False,True,False,0.646,7.400338309151786,3.52,False,True,1153.47,0.0,0.58,-0.73,0.01,0.64,0.27,1.3,target,0.5,target,0.5,none,0.01,stop,-1.3,none,0.01,stop,-1.3,none,0.01,stop,-1.3,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,target,0.5,target,0.5,none,0.01,stop,-1.0,none,0.01,stop,-1.0,none,0.01,stop,-1.0,2.0,target,0.5,target,0.5,none,0.01,none,0.27,none,0.01,none,0.27,none,0.01,none,0.27,0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64,stop,-0.64
ZS,2026-07-14,10:10,10,8,148.55,149.03,150.09,4.98,2.05,0.96,0.9,True,True,False,False,84.6,بدون,97,990.0,True,True,False,1.008,1.5057056971958704,5.11,False,False,148.93,0.26,4.28,-0.27,2.11,5.41,-0.52,-0.12,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,0.5,target,0.24,target,0.24,target,0.74,target,0.74,target,1.24,target,1.24,target,1.74,target,1.74,1.0,target,0.24,target,0.24,target,0.74,target,0.74,target,1.24,target,1.24,target,1.74,target,1.74,2.0,target,0.24,target,0.24,target,0.74,target,0.74,target,1.24,target,1.24,target,1.74,target,1.74,1.01,target,0.24,target,0.24,target,0.74,target,0.74,target,1.24,target,1.24,target,1.74,target,1.74
CRWD,2026-07-14,10:30,10,12,205.95,202.54,205.59,2.3,2.17,0.81,1.54,True,True,True,True,72.1,بدون,86,990.0,True,True,False,1.31,2.6525911603655135,5.11,False,False,206.1,0.07,2.35,-1.17,2.22,5.53,0.34,1.85,target,0.43,target,0.43,target,0.93,target,0.93,target,1.43,target,1.43,target,1.93,target,1.93,0.5,stop,-0.57,stop,-0.57,stop,-0.57,stop,-0.57,stop,-0.57,stop,-0.57,stop,-0.57,stop,-0.57,1.0,stop,-1.07,stop,-1.07,stop,-1.07,stop,-1.07,stop,-1.07,stop,-1.07,stop,-1.07,stop,-1.07,2.0,target,0.43,target,0.43,target,0.93,target,0.93,target,1.43,target,1.43,target,1.93,target,1.93,1.29,target,0.43,target,0.43,target,0.93,target,0.93,target,1.43,target,1.43,target,1.93,target,1.93
SNOW,2026-07-14,10:30,10,12,273.9,272.83,275.69,3.59,1.49,0.58,1.54,True,True,False,False,59.1,بدون,85,990.0,True,True,False,0.915,2.4974561418805803,4.67,False,False,274.15,0.09,1.7,-1.03,0.66,1.84,-0.79,0.59,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,stop,-0.68,0.5,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,stop,-0.59,1.0,target,0.41,target,0.41,target,0.91,target,0.91,target,1.41,target,1.41,none,0.66,stop,-1.09,2.0,target,0.41,target,0.41,target,0.91,target,0.91,target,1.41,target,1.41,none,0.66,stop,-2.09,0.91,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
DELL,2026-07-14,11:00,11,18,460.6,457.92,463.48,3.03,1.01,0.6,1.12,True,True,False,False,71.7,بدون,72,990.0,True,True,False,1.021,4.679894583565848,7.22,False,True,460.76,0.03,0.38,-2.55,-0.72,0.38,-10.53,0.78,stop,-0.82,stop,-0.82,stop,-0.82,stop,-0.82,stop,-0.82,stop,-0.82,stop,-0.82,stop,-0.82,0.5,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,1.0,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,2.0,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,1.02,stop,-1.05,stop,-1.05,stop,-1.05,stop,-1.05,stop,-1.05,stop,-1.05,stop,-1.05,stop,-1.05
EMR,2026-07-14,11:00,11,18,135.62,134.54,135.5,2.28,1.23,0.67,1.76,False,False,False,False,39.7,بدون,51,1.79,False,False,False,0.324,0.43712615966796875,2.9,False,True,135.67,0.04,0.49,-0.69,0.32,1.53,0.43,0.99,target,0.46,target,0.46,none,0.32,target,0.96,none,0.32,target,1.46,none,0.32,none,0.43,0.5,stop,-0.54,stop,-0.54,stop,-0.54,stop,-0.54,stop,-0.54,stop,-0.54,stop,-0.54,stop,-0.54,1.0,target,0.46,target,0.46,none,0.32,target,0.96,none,0.32,target,1.46,none,0.32,none,0.43,2.0,target,0.46,target,0.46,none,0.32,target,0.96,none,0.32,target,1.46,none,0.32,none,0.43,0.32,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36,stop,-0.36
ETN,2026-07-14,11:20,11,22,413.14,409.99,412.4,2.11,1.1,0.9,1.23,False,True,False,True,56.3,بدون,69,0.93,False,False,False,0.445,1.8257991245814733,4.49,False,True,413.28,0.03,0.71,-0.98,0.58,1.38,-0.1,0.96,target,0.47,target,0.47,none,0.58,target,1.38,none,0.58,stop,-0.99,none,0.58,stop,-0.99,0.5,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,1.0,target,0.47,target,0.47,none,0.58,target,1.38,none,0.58,stop,-1.03,none,0.58,stop,-1.03,2.0,target,0.47,target,0.47,none,0.58,target,1.38,none,0.58,stop,-2.03,none,0.58,stop,-2.03,0.44,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48
BSX,2026-07-14,11:25,11,23,42.61,42.38,42.57,2.93,2.57,0.76,0.87,False,False,False,False,29.2,بدون,79,5.48,False,False,False,0.45,0.19069998604910715,3.22,False,False,42.62,0.02,1.14,-0.23,0.02,2.32,1.03,0.74,target,0.48,target,0.48,target,0.98,target,0.98,none,0.02,stop,-0.76,none,0.02,stop,-0.76,0.5,target,0.48,target,0.48,target,0.98,target,0.98,none,0.02,stop,-0.52,none,0.02,stop,-0.52,1.0,target,0.48,target,0.48,target,0.98,target,0.98,none,0.02,target,1.48,none,0.02,target,1.98,2.0,target,0.48,target,0.48,target,0.98,target,0.98,none,0.02,target,1.48,none,0.02,target,1.98,0.45,target,0.48,target,0.48,target,0.98,target,0.98,none,0.02,stop,-0.47,none,0.02,stop,-0.47
JNJ,2026-07-14,11:30,11,24,252.95,252.9,253.41,2.84,1.36,0.67,0.74,False,False,False,False,34.3,بدون,59,2.44,False,True,False,0.23,0.5817020961216518,2.58,False,False,252.95,-0.0,0.38,-0.2,0.36,1.54,-2.32,0.22,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13,0.5,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13,1.0,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13,2.0,none,0.36,stop,-2.0,none,0.36,stop,-2.0,none,0.36,stop,-2.0,none,0.36,stop,-2.0,0.23,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13,none,0.36,stop,-1.13
SNPS,2026-07-14,11:50,11,28,433.13,432.31,433.82,2.07,1.13,0.68,1.06,False,True,False,True,49.2,بدون,57,2.72,False,False,True,0.256,1.1073978969029017,3.75,False,True,433.13,0.0,0.07,-1.79,-1.69,0.07,-1.81,0.39,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,stop,-0.39,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,2.0,none,-1.69,stop,-2.0,none,-1.69,stop,-2.0,none,-1.69,stop,-2.0,none,-1.69,stop,-2.0,0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26,stop,-0.26
ADBE,2026-07-14,12:15,12,33,223.35,222.86,223.72,2.82,1.46,0.59,1.19,True,True,False,True,51.6,قاعدة,78,3.91,False,True,False,0.297,0.6627197265625,3.44,False,False,223.36,0.0,0.38,-1.64,-1.18,3.66,0.54,0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,stop,-0.42,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,2.0,none,-1.18,target,0.5,none,-1.18,target,1.0,none,-1.18,target,1.5,none,-1.18,target,2.0,0.3,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3,stop,-0.3
CRM,2026-07-14,12:20,12,34,170.63,169.51,170.4,2.32,1.58,0.96,1.84,True,True,True,True,61.9,بدون,78,1.25,False,False,False,0.268,0.4549952915736607,3.66,False,False,170.64,0.01,0.42,-1.93,-1.79,1.27,-2.13,0.86,stop,-0.86,stop,-0.86,stop,-0.86,stop,-0.86,stop,-0.86,stop,-0.86,stop,-0.86,stop,-0.86,0.5,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,1.0,stop,-1.01,stop,-1.01,stop,-1.01,stop,-1.01,stop,-1.01,stop,-1.01,stop,-1.01,stop,-1.01,2.0,none,-1.79,target,0.49,none,-1.79,target,0.99,none,-1.79,stop,-2.01,none,-1.79,stop,-2.01,0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27,stop,-0.27
ORCL,2026-07-14,12:20,12,34,130.14,128.92,129.78,2.2,1.5,1.0,1.75,True,True,True,True,41.8,قاعدة,79,3.7,False,False,True,0.333,0.42955780029296875,5.63,False,True,130.12,-0.02,0.29,-1.94,-1.65,2.91,1.85,1.14,stop,-1.12,stop,-1.12,stop,-1.12,stop,-1.12,stop,-1.12,stop,-1.12,stop,-1.12,stop,-1.12,0.5,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,stop,-0.48,1.0,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,stop,-0.98,2.0,none,-1.65,target,0.52,none,-1.65,target,1.02,none,-1.65,target,1.52,none,-1.65,target,2.02,0.33,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31
UBER,2026-07-14,12:20,12,34,73.22,72.63,72.91,2.21,1.67,0.82,1.13,False,False,False,True,50.6,بدون,63,3.01,False,True,False,0.328,0.23892865862165177,3.83,False,False,73.21,-0.01,0.74,-2.69,-1.54,1.03,-0.74,1.0,target,0.51,target,0.51,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,0.5,target,0.51,target,0.51,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,1.0,target,0.51,target,0.51,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,stop,-0.99,2.0,target,0.51,target,0.51,stop,-1.99,stop,-1.99,stop,-1.99,stop,-1.99,stop,-1.99,stop,-1.99,0.33,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31
MRK,2026-07-14,12:25,12,35,120.39,120.44,120.76,3.4,1.08,0.69,1.5,False,False,False,False,29.9,بدون,62,3.23,False,True,False,0.179,0.21560614449637278,2.87,False,False,120.37,-0.02,0.52,-0.17,0.36,3.76,2.69,0.16,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,0.5,target,0.52,target,0.52,none,0.36,target,3.22,none,0.36,target,3.22,none,0.36,target,3.22,1.0,target,0.52,target,0.52,none,0.36,target,3.22,none,0.36,target,3.22,none,0.36,target,3.22,2.0,target,0.52,target,0.52,none,0.36,target,3.22,none,0.36,target,3.22,none,0.36,target,3.22,0.18,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16
