sym,date,whale_time,hour,bar_k,entry,whale_low,whale_high,spike,pace,clv,rng_x,new_high,above_vwap,lifting,confirmed,rsi,pattern,score,room_pct,breakout,trend,near_low,atr5_pct,atr5_abs,atr_d_pct,v3,first_of_day,fill,slip_pct,mfe_d0,mae_d0,close_d0,mfe_d1,close_d1,stoppct_whale,o_d0_t0.5_whale,p_d0_t0.5_whale,o_d1_t0.5_whale,p_d1_t0.5_whale,o_d0_t1.0_whale,p_d0_t1.0_whale,o_d1_t1.0_whale,p_d1_t1.0_whale,o_d0_t1.5_whale,p_d0_t1.5_whale,o_d1_t1.5_whale,p_d1_t1.5_whale,o_d0_t2.0_whale,p_d0_t2.0_whale,o_d1_t2.0_whale,p_d1_t2.0_whale,stoppct_p05,o_d0_t0.5_p05,p_d0_t0.5_p05,o_d1_t0.5_p05,p_d1_t0.5_p05,o_d0_t1.0_p05,p_d0_t1.0_p05,o_d1_t1.0_p05,p_d1_t1.0_p05,o_d0_t1.5_p05,p_d0_t1.5_p05,o_d1_t1.5_p05,p_d1_t1.5_p05,o_d0_t2.0_p05,p_d0_t2.0_p05,o_d1_t2.0_p05,p_d1_t2.0_p05,stoppct_p10,o_d0_t0.5_p10,p_d0_t0.5_p10,o_d1_t0.5_p10,p_d1_t0.5_p10,o_d0_t1.0_p10,p_d0_t1.0_p10,o_d1_t1.0_p10,p_d1_t1.0_p10,o_d0_t1.5_p10,p_d0_t1.5_p10,o_d1_t1.5_p10,p_d1_t1.5_p10,o_d0_t2.0_p10,p_d0_t2.0_p10,o_d1_t2.0_p10,p_d1_t2.0_p10,stoppct_p20,o_d0_t0.5_p20,p_d0_t0.5_p20,o_d1_t0.5_p20,p_d1_t0.5_p20,o_d0_t1.0_p20,p_d0_t1.0_p20,o_d1_t1.0_p20,p_d1_t1.0_p20,o_d0_t1.5_p20,p_d0_t1.5_p20,o_d1_t1.5_p20,p_d1_t1.5_p20,o_d0_t2.0_p20,p_d0_t2.0_p20,o_d1_t2.0_p20,p_d1_t2.0_p20,stoppct_atr1,o_d0_t0.5_atr1,p_d0_t0.5_atr1,o_d1_t0.5_atr1,p_d1_t0.5_atr1,o_d0_t1.0_atr1,p_d0_t1.0_atr1,o_d1_t1.0_atr1,p_d1_t1.0_atr1,o_d0_t1.5_atr1,p_d0_t1.5_atr1,o_d1_t1.5_atr1,p_d1_t1.5_atr1,o_d0_t2.0_atr1,p_d0_t2.0_atr1,o_d1_t2.0_atr1,p_d1_t2.0_atr1
COP,2026-08-13,12:25,12,35,124.85,124.86,125.07,2.1,1.03,0.93,0.97,False,False,False,False,40.0,بدون,53,1.99,False,True,False,0.16,0.20021493094308035,2.96,False,True,124.86,0.0,0.16,-0.59,-0.27,2.04,1.54,0.19,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.27,target,0.56,none,-0.27,target,1.0,none,-0.27,target,1.5,none,-0.27,target,2.0,2.0,none,-0.27,target,0.56,none,-0.27,target,1.0,none,-0.27,target,1.5,none,-0.27,target,2.0,0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16,stop,-0.16
LRCX,2026-08-13,12:30,12,36,341.66,341.39,343.17,2.37,1.21,0.66,1.11,True,True,False,False,72.0,بدون,67,990.0,True,False,False,0.52,1.7746821812220983,7.36,False,True,341.68,0.01,1.01,-1.66,-1.31,1.01,-2.76,0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,stop,-0.28,0.5,target,0.49,target,0.49,target,0.99,target,0.99,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,1.0,target,0.49,target,0.49,target,0.99,target,0.99,stop,-1.01,stop,-1.01,stop,-1.01,stop,-1.01,2.0,target,0.49,target,0.49,target,0.99,target,0.99,none,-1.31,stop,-3.01,none,-1.31,stop,-3.01,0.52,target,0.49,target,0.49,target,0.99,target,0.99,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53
MRVL,2026-08-13,12:30,12,36,228.71,229.57,231.38,2.73,1.06,0.71,1.3,True,True,False,False,63.9,بدون,69,990.0,True,False,False,0.6,1.3761651175362724,8.1,False,True,228.78,0.03,0.53,-3.22,-2.84,0.53,-2.93,-0.18,stop,0.14,stop,0.14,stop,0.14,stop,0.14,stop,0.14,stop,0.14,stop,0.14,stop,0.14,0.5,target,0.47,target,0.47,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,stop,-0.53,1.0,target,0.47,target,0.47,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,stop,-1.03,2.0,target,0.47,target,0.47,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,stop,-2.03,0.6,target,0.47,target,0.47,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63,stop,-0.63
AZO,2026-08-13,12:50,12,40,3048.49,3043.18,3048.67,2.02,1.39,0.5,0.87,False,False,False,False,43.7,بدون,50,1.79,False,False,False,0.23,6.983642578125,2.69,False,False,3045.93,-0.08,0.46,-0.3,-0.14,0.46,-0.71,0.37,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,0.5,none,-0.14,stop,-0.42,none,-0.14,stop,-0.42,none,-0.14,stop,-0.42,none,-0.14,stop,-0.42,1.0,none,-0.14,stop,-0.92,none,-0.14,stop,-0.92,none,-0.14,stop,-0.92,none,-0.14,stop,-0.92,2.0,none,-0.14,none,-0.71,none,-0.14,none,-0.71,none,-0.14,none,-0.71,none,-0.14,none,-0.71,0.23,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15
ORLY,2026-08-13,13:00,13,42,92.57,92.42,92.61,2.08,1.31,0.87,1.55,False,False,False,False,47.5,بدون,57,1.37,False,True,False,0.109,0.10099193028041295,2.75,False,False,92.56,-0.01,0.43,-0.25,0.01,0.43,-1.63,0.36,none,0.01,stop,-0.35,none,0.01,stop,-0.35,none,0.01,stop,-0.35,none,0.01,stop,-0.35,0.5,none,0.01,stop,-0.49,none,0.01,stop,-0.49,none,0.01,stop,-0.49,none,0.01,stop,-0.49,1.0,none,0.01,stop,-0.99,none,0.01,stop,-0.99,none,0.01,stop,-0.99,none,0.01,stop,-0.99,2.0,none,0.01,none,-1.63,none,0.01,none,-1.63,none,0.01,none,-1.63,none,0.01,none,-1.63,0.11,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1
QCOM,2026-08-13,13:05,13,43,165.52,165.62,166.06,2.22,1.09,0.78,1.06,True,True,False,False,58.6,قاعدة,78,0.76,False,False,False,0.2,0.33092171805245535,4.52,False,True,165.52,0.0,0.14,-0.79,-0.42,0.87,0.2,0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.42,target,0.5,none,-0.42,stop,-1.0,none,-0.42,stop,-1.0,none,-0.42,stop,-1.0,2.0,none,-0.42,target,0.5,none,-0.42,none,0.2,none,-0.42,none,0.2,none,-0.42,none,0.2,0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2,stop,-0.2
NXPI,2026-08-13,13:10,13,44,234.1,233.54,234.1,2.73,1.05,0.91,1.02,True,False,False,False,54.6,قاعدة,69,1.06,False,False,False,0.197,0.4608524867466518,5.0,False,False,233.96,-0.06,0.4,-1.18,-0.91,0.4,0.3,0.44,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,0.5,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,stop,-0.44,1.0,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,stop,-0.94,2.0,none,-0.91,none,0.3,none,-0.91,none,0.3,none,-0.91,none,0.3,none,-0.91,none,0.3,0.2,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14
AMAT,2026-08-13,13:15,13,45,562.54,559.87,562.87,2.45,1.55,0.98,1.57,True,True,True,True,63.7,مثلث,94,990.0,True,False,False,0.3,1.6810346330915178,6.44,False,False,562.63,0.02,0.08,-5.48,-4.82,0.08,-9.87,0.67,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,stop,-0.69,0.5,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,1.0,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,2.0,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,stop,-2.02,0.3,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31,stop,-0.31
AZO,2026-08-13,13:30,13,48,3050.3,3045.85,3049.98,2.14,1.39,0.74,0.65,False,False,False,False,48.7,بدون,52,1.73,False,False,False,0.225,6.8485107421875,2.69,False,False,3050.29,-0.0,0.31,-0.45,-0.29,0.31,-0.85,0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,stop,-0.35,0.5,none,-0.29,stop,-0.5,none,-0.29,stop,-0.5,none,-0.29,stop,-0.5,none,-0.29,stop,-0.5,1.0,none,-0.29,stop,-1.0,none,-0.29,stop,-1.0,none,-0.29,stop,-1.0,none,-0.29,stop,-1.0,2.0,none,-0.29,none,-0.85,none,-0.29,none,-0.85,none,-0.29,none,-0.85,none,-0.29,none,-0.85,0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22
COP,2026-08-13,13:40,13,50,124.82,124.7,124.85,2.26,1.04,0.94,0.87,False,False,False,False,42.0,بدون,55,2.02,False,True,False,0.148,0.1842498779296875,2.96,False,False,124.81,-0.01,0.2,-0.55,-0.23,2.08,1.57,0.3,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,stop,-0.29,0.5,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,stop,-0.49,1.0,none,-0.23,target,0.6,none,-0.23,target,1.01,none,-0.23,target,1.51,none,-0.23,target,2.01,2.0,none,-0.23,target,0.6,none,-0.23,target,1.01,none,-0.23,target,1.51,none,-0.23,target,2.01,0.15,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14
QCOM,2026-08-13,13:40,13,50,165.46,165.16,165.56,2.11,1.08,0.9,1.29,False,True,False,True,47.0,بدون,64,0.79,False,False,False,0.17,0.28104400634765625,4.52,False,False,165.46,0.0,0.18,-0.76,-0.39,0.91,0.23,0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,stop,-0.38,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.39,target,0.5,none,-0.39,stop,-1.0,none,-0.39,stop,-1.0,none,-0.39,stop,-1.0,2.0,none,-0.39,target,0.5,none,-0.39,none,0.23,none,-0.39,none,0.23,none,-0.39,none,0.23,0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17
ORLY,2026-08-13,13:50,13,52,92.36,92.33,92.43,2.49,1.31,0.7,0.99,False,False,False,False,40.7,بدون,55,1.6,False,True,False,0.108,0.09982899257114955,2.75,False,False,92.39,0.03,0.62,-0.06,0.19,0.62,-1.45,0.23,target,0.47,target,0.47,none,0.19,stop,-0.26,none,0.19,stop,-0.26,none,0.19,stop,-0.26,0.5,target,0.47,target,0.47,none,0.19,stop,-0.53,none,0.19,stop,-0.53,none,0.19,stop,-0.53,1.0,target,0.47,target,0.47,none,0.19,stop,-1.03,none,0.19,stop,-1.03,none,0.19,stop,-1.03,2.0,target,0.47,target,0.47,none,0.19,none,-1.45,none,0.19,none,-1.45,none,0.19,none,-1.45,0.11,target,0.47,target,0.47,none,0.19,stop,-0.14,none,0.19,stop,-0.14,none,0.19,stop,-0.14
TJX,2026-08-13,13:50,13,52,152.54,152.28,152.51,39.98,1.55,0.74,1.75,False,False,False,True,50.6,بدون,74,0.76,False,False,False,0.086,0.13108934674944198,2.27,False,True,152.56,0.01,0.97,-0.01,0.81,0.97,-0.29,0.37,target,0.49,target,0.49,none,0.81,stop,-0.38,none,0.81,stop,-0.38,none,0.81,stop,-0.38,0.5,target,0.49,target,0.49,none,0.81,stop,-0.51,none,0.81,stop,-0.51,none,0.81,stop,-0.51,1.0,target,0.49,target,0.49,none,0.81,none,-0.29,none,0.81,none,-0.29,none,0.81,none,-0.29,2.0,target,0.49,target,0.49,none,0.81,none,-0.29,none,0.81,none,-0.29,none,0.81,none,-0.29,0.09,target,0.49,target,0.49,none,0.81,stop,-0.1,none,0.81,stop,-0.1,none,0.81,stop,-0.1
LULU,2026-08-13,13:55,14,53,119.21,118.77,119.15,2.73,1.29,0.63,1.68,False,False,False,False,32.5,بدون,57,3.07,False,False,False,0.216,0.25719124930245535,3.36,False,True,119.21,0.0,1.32,-0.23,0.28,1.32,0.31,0.57,target,0.5,target,0.5,target,1.0,target,1.0,none,0.28,stop,-0.57,none,0.28,stop,-0.57,0.5,target,0.5,target,0.5,target,1.0,target,1.0,none,0.28,stop,-0.5,none,0.28,stop,-0.5,1.0,target,0.5,target,0.5,target,1.0,target,1.0,none,0.28,stop,-1.0,none,0.28,stop,-1.0,2.0,target,0.5,target,0.5,target,1.0,target,1.0,none,0.28,none,0.31,none,0.28,none,0.31,0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22,stop,-0.22
PEP,2026-08-13,14:00,14,54,139.87,139.73,139.8,2.45,1.23,0.67,0.55,False,False,False,False,41.9,بدون,53,0.48,False,False,False,0.101,0.14112091064453125,2.02,False,True,139.87,-0.0,0.69,-0.13,0.54,1.0,0.66,0.3,target,0.5,target,0.5,none,0.54,target,1.0,none,0.54,none,0.66,none,0.54,none,0.66,0.5,target,0.5,target,0.5,none,0.54,target,1.0,none,0.54,none,0.66,none,0.54,none,0.66,1.0,target,0.5,target,0.5,none,0.54,target,1.0,none,0.54,none,0.66,none,0.54,none,0.66,2.0,target,0.5,target,0.5,none,0.54,target,1.0,none,0.54,none,0.66,none,0.54,none,0.66,0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1
UNP,2026-08-13,14:00,14,54,298.68,298.78,299.25,2.61,1.21,1.0,1.48,True,True,True,False,71.4,مثلث,92,990.0,True,True,False,0.106,0.31639535086495535,2.04,False,True,298.53,-0.05,0.19,-0.37,-0.29,0.7,-1.59,0.17,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,0.5,none,-0.29,target,0.55,none,-0.29,stop,-0.45,none,-0.29,stop,-0.45,none,-0.29,stop,-0.45,1.0,none,-0.29,target,0.55,none,-0.29,stop,-0.95,none,-0.29,stop,-0.95,none,-0.29,stop,-0.95,2.0,none,-0.29,target,0.55,none,-0.29,none,-1.59,none,-0.29,none,-1.59,none,-0.29,none,-1.59,0.11,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06,stop,-0.06
REGN,2026-08-13,14:10,14,56,807.72,807.42,808.83,2.3,1.18,0.61,1.33,False,False,False,False,33.6,بدون,51,0.98,False,True,False,0.151,1.2203543526785714,2.89,False,False,807.72,0.0,0.24,-0.38,-0.24,0.24,-0.52,0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,0.5,none,-0.24,stop,-0.67,none,-0.24,stop,-0.67,none,-0.24,stop,-0.67,none,-0.24,stop,-0.67,1.0,none,-0.24,stop,-1.0,none,-0.24,stop,-1.0,none,-0.24,stop,-1.0,none,-0.24,stop,-1.0,2.0,none,-0.24,none,-0.52,none,-0.24,none,-0.52,none,-0.24,none,-0.52,none,-0.24,none,-0.52,0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15,stop,-0.15
EOG,2026-08-13,14:15,14,57,141.51,141.19,141.48,2.13,1.08,1.0,1.82,False,False,False,False,34.2,بدون,54,1.22,False,True,False,0.109,0.15392957414899552,3.31,False,True,141.5,-0.01,0.23,-0.25,-0.05,1.58,0.78,0.43,none,-0.05,target,0.58,none,-0.05,target,1.01,none,-0.05,target,1.51,none,-0.05,none,0.78,0.5,none,-0.05,target,0.58,none,-0.05,target,1.01,none,-0.05,target,1.51,none,-0.05,none,0.78,1.0,none,-0.05,target,0.58,none,-0.05,target,1.01,none,-0.05,target,1.51,none,-0.05,none,0.78,2.0,none,-0.05,target,0.58,none,-0.05,target,1.01,none,-0.05,target,1.51,none,-0.05,none,0.78,0.11,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1
AAPL,2026-08-13,14:30,14,60,303.23,303.13,303.52,2.18,1.04,0.79,1.2,False,False,False,False,48.6,بدون,54,0.91,False,False,False,0.109,0.3302852085658482,3.13,False,True,303.22,-0.0,0.69,-0.06,0.69,1.41,0.9,0.23,target,0.5,target,0.5,none,0.69,target,1.0,none,0.69,none,0.9,none,0.69,none,0.9,0.5,target,0.5,target,0.5,none,0.69,target,1.0,none,0.69,none,0.9,none,0.69,none,0.9,1.0,target,0.5,target,0.5,none,0.69,target,1.0,none,0.69,none,0.9,none,0.69,none,0.9,2.0,target,0.5,target,0.5,none,0.69,target,1.0,none,0.69,none,0.9,none,0.69,none,0.9,0.11,target,0.5,target,0.5,none,0.69,target,1.0,none,0.69,none,0.9,none,0.69,none,0.9
CRM,2026-08-13,14:30,14,60,200.58,192.43,194.98,8.49,1.49,1.0,8.66,True,True,True,True,49.6,مثلث,100,-1.84,False,True,False,0.148,0.2846036638532366,4.38,False,False,200.58,0.0,1.2,-1.04,0.38,1.9,-2.19,2.0,target,0.5,target,0.5,target,1.0,target,1.0,none,0.38,target,1.5,none,0.38,stop,-2.0,0.5,target,0.5,target,0.5,target,1.0,target,1.0,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,target,0.5,target,0.5,target,1.0,target,1.0,stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0,2.0,target,0.5,target,0.5,target,1.0,target,1.0,none,0.38,target,1.5,none,0.38,stop,-2.0,0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14,stop,-0.14
FTNT,2026-08-13,14:30,14,60,165.21,164.29,165.02,3.74,1.01,0.91,3.0,True,True,True,True,66.7,قاعدة,95,990.0,True,True,False,0.158,0.2599214826311384,4.5,False,True,165.34,0.08,0.25,-0.37,0.08,0.25,-3.23,0.76,none,0.08,stop,-0.83,none,0.08,stop,-0.83,none,0.08,stop,-0.83,none,0.08,stop,-0.83,0.5,none,0.08,stop,-0.58,none,0.08,stop,-0.58,none,0.08,stop,-0.58,none,0.08,stop,-0.58,1.0,none,0.08,stop,-1.08,none,0.08,stop,-1.08,none,0.08,stop,-1.08,none,0.08,stop,-1.08,2.0,none,0.08,stop,-2.08,none,0.08,stop,-2.08,none,0.08,stop,-2.08,none,0.08,stop,-2.08,0.16,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24,stop,-0.24
IBM,2026-08-13,14:30,14,60,235.72,234.03,235.05,2.55,1.08,0.81,2.97,False,False,False,False,37.3,بدون,59,1.69,False,False,False,0.144,0.3379876273018973,3.16,False,True,235.8,0.03,0.92,-0.06,0.51,1.42,-0.6,0.92,target,0.47,target,0.47,none,0.51,target,1.09,none,0.51,none,-0.6,none,0.51,none,-0.6,0.5,target,0.47,target,0.47,none,0.51,target,1.09,none,0.51,stop,-0.53,none,0.51,stop,-0.53,1.0,target,0.47,target,0.47,none,0.51,target,1.09,none,0.51,none,-0.6,none,0.51,none,-0.6,2.0,target,0.47,target,0.47,none,0.51,target,1.09,none,0.51,none,-0.6,none,0.51,none,-0.6,0.14,target,0.47,target,0.47,none,0.51,target,1.09,none,0.51,stop,-0.18,none,0.51,stop,-0.18
INTU,2026-08-13,14:30,14,60,349.7,339.52,342.9,7.53,1.13,0.9,5.87,True,True,True,True,50.9,قاعدة,93,-0.63,False,True,False,0.166,0.5650285993303571,4.34,False,True,349.57,-0.04,3.3,-0.13,2.5,3.52,-1.09,2.0,target,0.54,target,0.54,target,1.04,target,1.04,target,1.54,target,1.54,target,2.04,target,2.04,0.5,target,0.54,target,0.54,target,1.04,target,1.04,target,1.54,target,1.54,target,2.04,target,2.04,1.0,target,0.54,target,0.54,target,1.04,target,1.04,target,1.54,target,1.54,target,2.04,target,2.04,2.0,target,0.54,target,0.54,target,1.04,target,1.04,target,1.54,target,1.54,target,2.04,target,2.04,0.16,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12,stop,-0.12
SNPS,2026-08-13,14:30,14,60,415.08,411.27,412.67,3.31,1.44,1.0,2.59,False,False,False,True,27.9,بدون,73,0.41,False,False,False,0.134,0.551422119140625,3.2,False,False,415.08,0.0,0.11,-0.99,-0.82,2.14,1.56,1.12,none,-0.82,stop,-1.12,none,-0.82,stop,-1.12,none,-0.82,stop,-1.12,none,-0.82,stop,-1.12,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,none,-0.82,stop,-1.0,none,-0.82,stop,-1.0,none,-0.82,stop,-1.0,none,-0.82,stop,-1.0,2.0,none,-0.82,target,0.5,none,-0.82,target,1.0,none,-0.82,target,1.5,none,-0.82,target,2.0,0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13,stop,-0.13
CDNS,2026-08-13,14:35,14,61,326.41,324.77,326.89,4.05,1.47,0.92,4.27,True,True,True,True,47.6,قاعدة,98,0.19,False,False,True,0.171,0.5569327218191964,3.96,False,True,326.42,0.0,0.57,-0.97,-0.81,0.57,-0.49,0.7,target,0.5,target,0.5,stop,-0.7,stop,-0.7,stop,-0.7,stop,-0.7,stop,-0.7,stop,-0.7,0.5,target,0.5,target,0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,stop,-0.5,1.0,target,0.5,target,0.5,none,-0.81,stop,-1.0,none,-0.81,stop,-1.0,none,-0.81,stop,-1.0,2.0,target,0.5,target,0.5,none,-0.81,stop,-2.0,none,-0.81,stop,-2.0,none,-0.81,stop,-2.0,0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17,stop,-0.17
TJX,2026-08-13,14:35,14,61,152.71,152.69,152.75,2.12,1.45,0.83,0.38,False,True,False,False,56.2,بدون,74,0.65,False,False,False,0.109,0.16616058349609375,2.27,False,False,152.73,0.01,0.86,-0.03,0.7,0.86,-0.4,0.21,target,0.49,target,0.49,none,0.7,stop,-0.22,none,0.7,stop,-0.22,none,0.7,stop,-0.22,0.5,target,0.49,target,0.49,none,0.7,stop,-0.51,none,0.7,stop,-0.51,none,0.7,stop,-0.51,1.0,target,0.49,target,0.49,none,0.7,none,-0.4,none,0.7,none,-0.4,none,0.7,none,-0.4,2.0,target,0.49,target,0.49,none,0.7,none,-0.4,none,0.7,none,-0.4,none,0.7,none,-0.4,0.11,target,0.49,target,0.49,none,0.7,stop,-0.12,none,0.7,stop,-0.12,none,0.7,stop,-0.12
ADBE,2026-08-13,14:40,14,62,267.35,265.35,268.98,9.91,1.04,0.89,4.19,True,True,True,True,89.2,بدون,84,990.0,True,True,False,0.395,1.0557926722935267,4.86,False,True,267.65,0.11,1.58,-0.55,1.06,2.15,-1.35,0.95,target,0.39,target,0.39,target,0.89,target,0.89,target,1.39,target,1.39,none,1.06,target,2.08,0.5,target,0.39,target,0.39,target,0.89,target,0.89,target,1.39,target,1.39,none,1.06,target,2.08,1.0,target,0.39,target,0.39,target,0.89,target,0.89,target,1.39,target,1.39,none,1.06,target,2.08,2.0,target,0.39,target,0.39,target,0.89,target,0.89,target,1.39,target,1.39,none,1.06,target,2.08,0.39,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51,stop,-0.51
MRK,2026-08-13,14:40,14,62,134.63,134.18,134.37,3.85,1.16,1.0,1.21,False,False,False,True,36.3,بدون,75,0.24,False,True,False,0.119,0.16034480503627233,2.44,False,True,134.6,-0.02,0.8,-0.2,0.73,1.02,0.93,0.53,target,0.52,target,0.52,none,0.73,stop,-0.51,none,0.73,stop,-0.51,none,0.73,stop,-0.51,0.5,target,0.52,target,0.52,none,0.73,stop,-0.48,none,0.73,stop,-0.48,none,0.73,stop,-0.48,1.0,target,0.52,target,0.52,none,0.73,none,0.93,none,0.73,none,0.93,none,0.73,none,0.93,2.0,target,0.52,target,0.52,none,0.73,none,0.93,none,0.73,none,0.93,none,0.73,none,0.93,0.12,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1,stop,-0.1
NOW,2026-08-13,14:40,14,62,128.11,127.44,129.75,20.58,1.07,0.82,5.69,True,True,True,False,89.4,بدون,84,990.0,True,True,False,0.389,0.49698638916015625,5.44,False,True,128.13,0.02,0.22,-1.44,-0.7,0.41,-3.2,0.72,stop,-0.74,stop,-0.74,stop,-0.74,stop,-0.74,stop,-0.74,stop,-0.74,stop,-0.74,stop,-0.74,0.5,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,stop,-0.52,1.0,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,stop,-1.02,2.0,none,-0.7,stop,-2.02,none,-0.7,stop,-2.02,none,-0.7,stop,-2.02,none,-0.7,stop,-2.02,0.39,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4,stop,-0.4
