sym,t,date,kind,volx,clv,close,sig_low,atr_pct,trend200,ext,near_earn,year,fill,gap_pct,stop_pct,o_t5,p_t5,d_t5,o_t8,p_t8,d_t8,o_t10,p_t10,d_t10,p_hold5,p_hold10,p_hold20,mfe,mae
PLTR,241,2024-09-09,A,3.13,0.96,34.6,32.470001220703125,3.86,True,19.88,False,2024,34.81,0.61,6.72,target,5.0,4,target,8.0,9,target,10.0,17,4.71,6.0,19.07,19.19,-3.42
ANET,243,2024-09-11,B,1.72,0.95,85.73,81.04624938964844,3.66,True,0.42,False,2024,85.7,-0.04,5.43,target,5.0,1,target,8.75,5,target,10.0,5,10.65,12.69,19.53,19.81,-0.89
VRT,243,2024-09-11,B,1.57,0.97,82.39,75.49500274658203,4.93,True,2.86,False,2024,81.65,-0.9,7.0,target,5.0,0,target,8.41,1,target,10.0,4,12.75,23.23,31.62,33.96,-0.17
AVGO,244,2024-09-12,B,1.57,0.81,164.56,156.8300018310547,5.28,True,4.29,False,2024,166.74,1.32,5.94,target,5.0,7,target,8.0,9,target,10.0,18,2.61,3.57,8.84,11.8,-3.8
ORCL,244,2024-09-12,A,2.02,0.78,161.38,157.89999389648438,2.71,True,15.63,False,2024,173.7,7.63,7.0,stop,-7.0,0,stop,-7.0,0,stop,-7.0,0,-3.28,-2.86,1.19,2.83,-7.31
ARM,245,2024-09-13,B,1.66,0.7,147.37,141.3699951171875,5.53,True,4.65,False,2024,143.0,-2.97,1.14,stop,-1.14,0,stop,-1.14,0,stop,-1.14,0,-0.9,0.01,13.16,14.8,-7.13
AMZN,250,2024-09-20,A,3.06,0.95,191.6,187.41000366210938,2.48,True,7.12,False,2024,191.64,0.02,2.21,stop,-2.21,4,stop,-2.21,4,stop,-2.21,4,-2.77,-5.66,-1.34,1.95,-5.94
CRWD,250,2024-09-20,A,4.04,0.96,74.96,70.97000122070312,3.36,False,11.97,False,2024,74.44,-0.69,4.67,stop,-4.67,3,stop,-4.67,3,stop,-4.67,3,-5.81,-3.63,3.95,8.79,-8.43
EOG,250,2024-09-20,B,2.79,0.94,126.03,123.94999694824219,2.05,True,0.3,False,2024,125.71,-0.25,1.4,stop,-3.13,3,stop,-3.13,3,stop,-3.13,3,-2.21,6.79,0.0,7.79,-4.62
NOW,250,2024-09-20,A,3.66,0.88,187.47,183.46200561523438,2.43,True,14.23,False,2024,187.38,-0.05,2.09,stop,-2.09,1,stop,-2.09,1,stop,-2.09,1,-4.54,-3.3,-1.98,1.36,-7.86
PANW,250,2024-09-20,B,1.51,0.89,170.06,166.1649932861328,2.95,True,1.27,False,2024,169.82,-0.14,2.15,stop,-2.15,6,stop,-2.15,6,stop,-2.15,6,0.64,-0.5,11.42,13.06,-3.35
PG,250,2024-09-20,B,4.75,0.89,174.22,171.5,1.53,True,2.42,False,2024,174.01,-0.12,1.44,stop,-1.44,3,stop,-1.44,3,stop,-1.44,3,-0.47,-3.96,-2.57,0.68,-4.45
UNP,250,2024-09-20,B,3.13,0.93,245.39,242.5399932861328,1.94,True,0.19,False,2024,245.09,-0.12,1.04,stop,-1.04,1,stop,-1.04,1,stop,-1.04,1,0.57,-3.35,-1.93,2.1,-4.0
FCX,252,2024-09-24,A,2.35,0.82,48.72,47.540000915527344,2.85,False,11.9,False,2024,48.75,0.06,2.48,target,5.0,1,stop,-2.48,14,stop,-2.48,14,4.25,0.25,-1.7,7.92,-3.41
